"Timestamp","Year Level","Age","Gender","General Weighted Average (Last Sem) for the ff. subject: [Psychology Assessment]","General Weighted Average (Last Sem) for the ff. subject: [Industrial Psychology]","General Weighted Average (Last Sem) for the ff. subject: [Developmental Psychology]","General Weighted Average (Last Sem) for the ff. subject: [Abnormal Psychology]"," [I create a daily schedule for study and reviewing]"," [I review my notes immediately after class lectures]"," [I set specific goals for what I plan to accomplish in each study session]"," [I avoid putting off assigned readings and homework until the last minute.]"," [I use active techniques such as summarizing, highlighting, or making concept maps]"," [I prefer to study in a quiet environment without distractions]"," [I participate in group study or discussion sessions with classmates]"," [I seek feedback from my teachers or mentors regarding my academic performance]","How many review classes or sessions have you attended in the past month?","Which do you prefer? ","Do you regularly attend scheduled review sessions provided by the college? "," [I feel confident in my ability to pass the Psychometrician Licensure Examination.]"," [I believe my current study methods will help me succeed in the board exam.]"," [I am aware of the topics and competencies required for the licensure examination.]"," [I am comfortable using new review tools or adaptive methods to prepare]","What motivates you the most to study for the board exam?","What challenges do you currently face in preparing for the board examination? ","What recommendations can you share for improving your review experience? "
"2025/11/25 4:11:56 pm GMT+8","3rd Year","21","F","N/A","N/A","Medium (1.75-2.25)","N/A","2 - Sometimes","2 - Sometimes","3 - Often","3 - Often","3 - Often","","3 - Often","3 - Often","1-2 times","Self-study","Yes","3 - Agree","3 - Agree","3 - Agree","3 - Agree","Personal fulfillment","Self- pressure","Set your priority and be realistic."
"2025/11/25 4:12:15 pm GMT+8","3rd year","20","Female","N/A","N/A","High (1.00-1.50)","N/A","2 - Sometimes","2 - Sometimes","3 - Often","2 - Sometimes","1 - Never","4 - Always","3 - Often","3 - Often","None","Group review","Yes","3 - Agree","2 - Disagree","4 - Strongly Agree","3 - Agree","Professional advancement;Family expectations;Personal fulfillment;Peer influence","Inability to focus into one subject","Organize what you need to study first and always take notes "
"2025/11/25 4:12:58 pm GMT+8","3rd Year","21","Femae","N/A","N/A","High (1.00-1.50)","N/A","2 - Sometimes","2 - Sometimes","4 - Always","2 - Sometimes","4 - Always","4 - Always","2 - Sometimes","1 - Never","1-2 times","Self-study","No","4 - Strongly Agree","3 - Agree","2 - Disagree","4 - Strongly Agree","Professional advancement;Personal fulfillment;Peer influence","Time management ","Just self study "
"2025/11/25 4:13:26 pm GMT+8","3rd Year","21","Female ","N/A","N/A","N/A","N/A","2 - Sometimes","3 - Often","2 - Sometimes","2 - Sometimes","2 - Sometimes","4 - Always","3 - Often","1 - Never","1-2 times","Self-study","Yes","2 - Disagree","1 - Strongly Disagree","2 - Disagree","2 - Disagree","Professional advancement;Personal fulfillment","My study habits and not having enough time","To focus and improve "
"2025/11/25 4:13:29 pm GMT+8","Third year ","21","Male","N/A","N/A","High (1.00-1.50)","N/A","2 - Sometimes","2 - Sometimes","2 - Sometimes","4 - Always","4 - Always","4 - Always","1 - Never","1 - Never","None","Self-study","No","2 - Disagree","1 - Strongly Disagree","4 - Strongly Agree","3 - Agree","Professional advancement;Personal fulfillment","Pressure ","As of now? None."
"2025/11/25 4:13:31 pm GMT+8","3","20","F","N/A","N/A","Medium (1.75-2.25)","N/A","1 - Never","1 - Never","3 - Often","2 - Sometimes","2 - Sometimes","4 - Always","1 - Never","2 - Sometimes","None","Formal review classes","No","2 - Disagree","3 - Agree","3 - Agree","3 - Agree","Professional advancement","-","-"
"2025/11/25 4:13:47 pm GMT+8","3","21","Female","N/A","N/A","Medium (1.75-2.25)","N/A","3 - Often","2 - Sometimes","2 - Sometimes","3 - Often","4 - Always","3 - Often","3 - Often","2 - Sometimes","1-2 times","Self-study","Yes","3 - Agree","2 - Disagree","3 - Agree","4 - Strongly Agree","Professional advancement;Personal fulfillment","Financial","Improve time management"
"2025/11/25 4:13:52 pm GMT+8","3rd Year","21","Male","N/A","N/A","High (1.00-1.50)","N/A","2 - Sometimes","2 - Sometimes","2 - Sometimes","2 - Sometimes","3 - Often","4 - Always","4 - Always","2 - Sometimes","None","Group review","No","2 - Disagree","2 - Disagree","3 - Agree","3 - Agree","Professional advancement;Personal fulfillment;learn","Financial problem for review sessions and also not consistently studying or reviewing.","Study more and explore different approaches to learn/review."
"2025/11/25 4:13:54 pm GMT+8","Third year","19","Female","N/A","N/A","Medium (1.75-2.25)","N/A","2 - Sometimes","2 - Sometimes","4 - Always","2 - Sometimes","4 - Always","3 - Often","3 - Often","1 - Never","3-4 times","Self-study","Yes","3 - Agree","2 - Disagree","3 - Agree","4 - Strongly Agree","Professional advancement","Lack of resources ","Wala muna sa ngayon huhu"
"2025/11/25 4:14:06 pm GMT+8","3rd year","23","female","N/A","N/A","Medium (1.75-2.25)","N/A","2 - Sometimes","1 - Never","2 - Sometimes","2 - Sometimes","1 - Never","4 - Always","3 - Often","3 - Often","1-2 times","Group review","Yes","4 - Strongly Agree","2 - Disagree","3 - Agree","3 - Agree","Professional advancement;Family expectations;Personal fulfillment;Peer influence","time management and feeling burn out","study more and make a time management"
"2025/11/25 4:14:15 pm GMT+8","third year","20","female","N/A","N/A","High (1.00-1.50)","N/A","2 - Sometimes","1 - Never","1 - Never","1 - Never","4 - Always","4 - Always","3 - Often","3 - Often","None","Self-study","No","3 - Agree","2 - Disagree","3 - Agree","4 - Strongly Agree","Professional advancement;Family expectations;Personal fulfillment","lack of review materials and guidance from our seniors who already took the board examination.","N/A"
