year_level,age,gender,sessions_attended_num,pref_self_study,pref_group,pref_formal,attends_schedule_bool,planning_score,discipline_score,active_learning_score,environment_score,collaboration_score,feedback_score,confidence_score,gwa_psych_assessment_num,gwa_industrial_psych_num,gwa_developmental_psych_num,gwa_abnormal_psych_num,motivation_professional_advancement,motivation_family_expectations,motivation_personal_fulfillment,motivation_peer_influence,challenge_time,challenge_financial,challenge_resources,challenge_burnout,challenge_focus
3rd Year,21,F,1.5,1,0,0,1,0.5,0.5,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,2.0,,0,0,1,0,0,0,0,1,0
3rd year,20,Female,,0,1,0,1,0.5,0.3333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,1.25,,1,1,1,1,0,0,0,0,1
3rd Year,21,Femae,1.5,1,0,0,0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,0.75,,,1.25,,1,0,1,1,1,0,0,0,0
3rd Year,21,Female ,1.5,1,0,0,1,0.3333333333333333,0.5,0.3333333333333333,1.0,0.6666666666666666,0.0,0.25,,,,,1,0,1,0,1,0,0,0,0
Third year ,21,Male,,1,0,0,0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.0,0.0,0.5,,,1.25,,1,0,1,0,0,0,0,1,0
3,20,F,,0,0,1,0,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.0,0.0,0.3333333333333333,0.5833333333333333,,,2.0,,1,0,0,0,0,0,0,0,0
3,21,Female,1.5,1,0,0,1,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,,,2.0,,1,0,1,0,0,1,0,0,0
3rd Year,21,Male,,0,1,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,0.5,,,1.25,,1,0,1,0,0,1,0,0,0
Third year,19,Female,3.5,1,0,0,1,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,,,2.0,,1,0,0,0,0,0,1,0,0
3rd year,23,female,1.5,0,1,0,1,0.3333333333333333,0.16666666666666666,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,2.0,,1,1,1,1,1,0,0,0,0
third year,20,female,,1,0,0,0,0.16666666666666666,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,1.25,,1,1,1,0,0,0,1,0,0
Third Year,20,Female,,1,0,0,0,0.3333333333333333,0.5,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,,,1.25,,1,1,1,0,0,0,1,0,0
3,22,male ,,1,0,0,1,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.5,,,1.25,,1,1,1,1,1,0,0,0,0
3 Year ,21,Male ,6.0,1,0,0,0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5833333333333334,2.75,2.75,2.0,2.75,0,1,1,0,0,0,0,0,0
third year,20,Female,1.5,1,0,0,0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,,,2.75,,0,0,1,0,0,0,0,0,0
Third Year,22,Female,,1,0,0,0,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.25,,,2.0,,0,0,0,1,1,0,0,0,0
3rd year,21,Female,3.5,1,0,0,1,0.5,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0,0.5833333333333333,,2.0,2.0,1.25,1,0,1,0,1,0,0,0,0
3rd year,21,Female ,,0,0,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,2.0,,0,0,1,0,0,0,0,0,0
3rd Year,20,F,,1,0,0,0,0.5,0.5,1.0,1.0,0.3333333333333333,0.0,0.75,,1.25,1.25,1.25,0,0,1,0,1,0,0,0,0
3,21,Female,,1,0,0,0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.5,1.25,,1.25,,0,0,1,0,0,1,0,0,0
3rd year,22,F,,1,0,0,0,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,,,1.25,,0,0,1,0,0,1,0,1,0
3rd,24,Female,,1,0,0,0,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5833333333333333,,,1.25,,0,0,1,0,0,0,0,1,0
3rd year,20,Female,1.5,1,0,0,0,1.0,0.8333333333333333,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,,,1.25,,1,0,1,0,0,1,0,0,0
3rd Year,20,Female,6.0,1,0,0,0,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.5,,,1.25,,0,0,1,1,0,0,0,0,0
4,21,Non-binary,3.5,0,1,0,1,1.0,0.8333333333333333,0.6666666666666666,1.0,1.0,1.0,0.75,2.0,1.25,1.25,1.25,1,0,0,0,0,0,0,0,0
4th,22,Female,,0,0,1,0,0.8333333333333333,0.5,1.0,1.0,0.6666666666666666,0.0,0.8333333333333333,2.0,2.0,2.0,1.25,1,0,0,0,0,1,0,0,0
4th Year College,22,Female,,1,0,0,0,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,2.0,1.25,1.25,0,0,1,0,0,0,0,1,0
4th year,22,Female,,0,1,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5833333333333333,2.0,2.0,2.0,2.0,1,1,1,1,0,0,1,0,1
